SERVICEREQUESTID,SERVICEPRIORITY,SERVICECODE,SERVICECODEDESCRIPTION,SERVICETYPECODE,SERVICETYPECODEDESCRIPTION,SERVICEORDERDATE,SERVICEORDERSTATUS,SERVICECALLCOUNT,AGENCYABBREVIATION,INSPECTIONFLAG,INSPECTIONDATE,RESOLUTION,RESOLUTIONDATE,SERVICEDUEDATE,SERVICENOTES,PARENTSERVICEREQUESTID,ADDDATE,LASTMODIFIEDDATE,SITEADDRESS,LATITUDE,LONGITUDE,ZIPCODE,MARADDRESSREPOSITORYID,DCSTATADDRESSKEY,DCSTATLOCATIONKEY,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,HOTSPOT2006NAME,HOTSPOT2005NAME,HOTSPOT2004NAME,SERVICESOURCECODE
16-00777589,Standard,S0311,Rodent Inspection and Treatment,DEPAHEAL,DOH- Department Of Health,2016-10-29T15:09:22Z,Closed,1,DOH,NA,2017-01-12T19:00:00Z,"Closed, issue resolved",2017-01-12T19:00:16Z,2016-11-18T22:00:00Z,"On 1/11/17 R Herrington baited 2 rat burrows in the front & rear yds.  Treatment will continue until rodent activity ceases. Ditrac/powder/ EPA#12455-56/ 0.2% 3 oz, B G duster/ gloves shovel.",NA,2016-10-29T15:09:22Z,2017-01-12T19:00:16Z,1727 3RD STREET N,38.91374182,-77.00176208,20002,56927,NA,NA,5,5E,5E03,Fifth,502,21,NA,NA,NA,PHONE
16-00784971,Standard,S0276,Parking Meter Repair,TRAOP001,Transportation Operations Administration,2016-11-02T17:51:20Z,Closed,1,DDOT,NA,NA,NA,2017-01-12T21:28:17Z,2016-11-09T18:51:00Z,NA,NA,2016-11-02T17:51:20Z,2017-01-12T21:28:17Z,19TH STREET NW AND R STREET NW,38.9126078487478,-77.0434318585617,NA,907185,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,PHONE
16-00785648,Standard,S0276,Parking Meter Repair,TRAOP001,Transportation Operations Administration,2016-11-02T21:12:32Z,Closed,1,DDOT,NA,NA,NA,2017-01-12T21:28:18Z,2016-11-09T22:00:00Z,NA,NA,2016-11-02T21:12:32Z,2017-01-12T21:28:18Z,1900 - 1999 BLOCK OF R STREET N,38.9126048635355,-77.0441525970653,NA,806127,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,311-API
16-00778205,Standard,S04TP,Tree Planting,URBAFORR,Urban Forrestry,2016-10-31T03:32:41Z,In-Progress,1,DDOT,NA,NA,NA,NA,2019-09-18T21:00:00Z,NA,NA,2016-10-31T03:32:41Z,2017-01-11T16:33:07Z,1629 14TH STREET N,38.91228721,-77.03171514,20009,218384,NA,NA,2,2F,2F01,Third,307,NA,NA,NA,NA,311-API
16-00785064,Standard,S0276,Parking Meter Repair,TRAOP001,Transportation Operations Administration,2016-11-02T18:12:54Z,Closed,1,DDOT,NA,NA,NA,2017-01-11T20:00:36Z,2016-11-09T19:12:00Z,NA,NA,2016-11-02T18:12:54Z,2017-01-11T20:00:36Z,900 - 999 BLOCK OF G PLACE N,38.8990520695288,-77.0249766510117,NA,810953,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,311-API
16-00789900,Standard,S0276,Parking Meter Repair,TRAOP001,Transportation Operations Administration,2016-11-04T17:45:29Z,Closed,1,DDOT,NA,NA,NA,2017-01-12T04:58:16Z,2016-11-14T18:45:00Z,NA,NA,2016-11-04T17:45:29Z,2017-01-12T04:58:16Z,1100 - 1129 BLOCK OF 17TH STREET N,38.904249277856,-77.0385068048485,NA,813423,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,311-API
16-00778510,Standard,S04TP,Tree Planting,URBAFORR,Urban Forrestry,2016-10-31T13:07:11Z,Closed,1,DDOT,NA,NA,NA,2017-01-09T16:18:08Z,2019-09-19T13:07:00Z,NA,NA,2016-10-31T13:07:11Z,2017-01-09T16:18:08Z,WISCONSIN AVENUE NW AND R STREET NW,38.9137275044977,-77.0666845538339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WEB
16-00779087,Standard,S0311,Rodent Inspection and Treatment,DEPAHEAL,DOH- Department Of Health,2016-10-31T15:08:27Z,Closed,1,DOH,NA,2017-01-09T16:51:00Z,"Closed, issue resolved",2017-01-09T16:51:49Z,2016-11-21T16:08:00Z,On 1/6/17 A Cuff found no rat burrows in the front yd or public space.,NA,2016-10-31T15:08:27Z,2017-01-09T16:51:49Z,3846 CARPENTER STREET S,38.87106718,-76.94948596,20020,29737,NA,NA,7,7B,7B07,Sixth,605,34,NA,NA,NA,PHONE
16-00780413,Standard,S0311,Rodent Inspection and Treatment,DEPAHEAL,DOH- Department Of Health,2016-10-31T20:12:42Z,Closed,1,DOH,NA,2017-01-09T12:54:00Z,"Closed, issue resolved",2017-01-09T12:54:40Z,2016-11-21T21:12:00Z,"On 3/8/16 D Broomfield baited 3 rat burrows in the yard. Treatment will continue until rodent activity ceases. Ditrac/powder/ EPA#12455-56/ 0.2% 3oz, B G duster/ gloves shovel.",NA,2016-10-31T20:12:42Z,2017-01-09T12:54:39Z,1836 1/2 6TH STREET N,38.91523017,-77.0201263,20001,238434,NA,NA,6,6E,6E02,Third,306,3,NA,NA,NA,PHONE
16-00784830,Standard,SIGNMISS,Roadway Signs,SIGNS,Toa-Trans Sys Mnt-Signs,2016-11-02T17:18:55Z,In-Progress,1,DDOT,NA,NA,NA,NA,2017-05-15T17:18:00Z,NA,NA,2016-11-02T17:18:55Z,2017-01-09T14:48:07Z,nul,38.93793913,-77.08588807,20016,310387,NA,NA,3,3D,3D10,Second,205,NA,NA,NA,NA,311-API
